;;;;Chalamont;Chalamont;CONFRANCON;CONFRANCON;Cusset;Cusset;Divonne-Les-Bains;Divonne-Les-Bains;Domerat;Domerat;OYONNAX Arbent;OYONNAX Arbent;Saint-Galmier;Saint-Galmier;Vichy;Vichy
;;;;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split
categorie;type;nom;poids;;;;;;;;;;;;;;;;
Fruits et légumes;Fruits; pommes golden rosées - ;x6 ;;;;;;;;;;;4.49;[' pommes golden rosées - ', '. 1'];;;;
Fruits et légumes;Fruits; prune jaune - ;De 800g à 1kg ;;;;;;;;;;;4.49;[' prune jaune - ', '.1'];;;4.99;[' prune jaune - ', '.1']
Fruits et légumes;Fruits; prunes rouges - ;De 800g à 1kg ;;;;;;;4.49;[' prunes rouges - ', '. 1'];;;4.49;[' prunes rouges - ', '. 1'];;;;
Fruits et légumes;Fruits; raisin blanc autumn crisp - ;500g ;;;;;4.99;[' raisin blanc autumn crisp - ', '. 1'];4.99;[' raisin blanc autumn crisp - ', '. 1'];;;4.99;[' raisin blanc autumn crisp - ', '. 1'];4.99;[' raisin blanc autumn crisp - ', '. 1'];4.99;[' raisin blanc autumn crisp - ', '. 1']
Fruits et légumes;Fruits; raisin de corinthe;250g ;;;;;;;2.38;[' raisin de corinthe'];;;2.38;[' raisin de corinthe'];2.38;[' raisin de corinthe'];;
Fruits et légumes;Fruits; raisin noir sans pépin - variété vitoria - barquette - ;500g ;;;;;;;;;;;4.99;[' raisin noir sans pépin - variété vitoria - barquette - ', '. 1'];;;4.99;[' raisin noir sans pépin - variété vitoria - barquette - ', '. 1']
Fruits et légumes;Fruits; raisins roses - variété red globe - ;De 800g à 1kg ;;;;;;;;;;;5.99;[' raisins roses - variété red globe - ', '. 1'];;;3.99;[' raisins roses - variété red globe - ', '. 1']
Fruits et légumes;Fruits; raisins secs - biologique - vrac;De 160g à 200g ;;;;;;;;;;;;;1.7;[' raisins secs - biologique - vrac'];;
Fruits et légumes;Fruits; raisins secs sultana;1kg ;3.99;[' raisins secs sultana'];;;;;;;;;3.99;[' raisins secs sultana'];;;;
Fruits et légumes;Fruits; riz basmati blanc - biologique - vrac;De 400g à 500g ;;;;;;;;;;;;;2.75;[' riz basmati blanc - biologique - vrac'];;
Fruits et légumes;Fruits; rondelles pommes 10x80g;nan;;;;;;;;;;;2.18;[' rondelles pommes 10x80g'];;;;
Fruits et légumes;Fruits;biothentic baies de goji - biologique;150g ;;;;;;;;;;;4.82;['biothentic baies de goji - biologique'];;;;
Fruits et légumes;Fruits;biothentic pignons de pin - biologique;150g ;;;;;;;;;;;5.3;['biothentic pignons de pin - biologique'];;;;
Fruits et légumes;Fruits;biothentic ça s'ajoute! - graines de sésame - biologique;250g ;;;;;;;;;;;2.56;"[""biothentic ça s'ajoute! - graines de sésame - biologique""]";;;;
Fruits et légumes;Fruits;casino abricots moelleux;250g ;2.85;['casino abricots moelleux'];2.85;['casino abricots moelleux'];2.85;['casino abricots moelleux'];2.85;['casino abricots moelleux'];3.25;['casino abricots moelleux'];2.85;['casino abricots moelleux'];2.85;['casino abricots moelleux'];3.25;['casino abricots moelleux']
Fruits et légumes;Fruits;casino abricots secs;250g ;2.99;['casino abricots secs'];2.99;['casino abricots secs'];2.99;['casino abricots secs'];2.99;['casino abricots secs'];4.09;['casino abricots secs'];2.99;['casino abricots secs'];2.99;['casino abricots secs'];3.7;['casino abricots secs']
Fruits et légumes;Fruits;casino amandes décortiquées;125g ;2.55;['casino amandes décortiquées'];;;2.55;['casino amandes décortiquées'];2.55;['casino amandes décortiquées'];2.85;['casino amandes décortiquées'];2.55;['casino amandes décortiquées'];2.55;['casino amandes décortiquées'];2.85;['casino amandes décortiquées']
Fruits et légumes;Fruits;casino arachide coque;500g ;3.09;['casino arachide coque'];3.09;['casino arachide coque'];3.09;['casino arachide coque'];3.09;['casino arachide coque'];3.49;['casino arachide coque'];3.09;['casino arachide coque'];3.09;['casino arachide coque'];3.49;['casino arachide coque']
Fruits et légumes;Fruits;casino bio abricots secs - biologique;250g ;3.55;['casino bio abricots secs - biologique'];;;3.55;['casino bio abricots secs - biologique'];3.55;['casino bio abricots secs - biologique'];;;3.55;['casino bio abricots secs - biologique'];3.55;['casino bio abricots secs - biologique'];4.7;['casino bio abricots secs - biologique']
Fruits et légumes;Fruits;casino bio amandes décortiquées - biologique;200g ;4.95;['casino bio amandes décortiquées - biologique'];;;4.95;['casino bio amandes décortiquées - biologique'];4.95;['casino bio amandes décortiquées - biologique'];;;4.95;['casino bio amandes décortiquées - biologique'];4.95;['casino bio amandes décortiquées - biologique'];;
Fruits et légumes;Fruits;casino bio amandes grillées - biologique;100g ;;;;;;;2.79;['casino bio amandes grillées - biologique'];;;2.79;['casino bio amandes grillées - biologique'];;;;
Fruits et légumes;Fruits;casino bio banane max havelaar - ;x5 ;2.29;['casino bio banane max havelaar - ', '. 2 - biologique'];2.29;['casino bio banane max havelaar - ', '. 2 - biologique'];2.29;['casino bio banane max havelaar - ', '. 2 - biologique'];2.29;['casino bio banane max havelaar - ', '. 2 - biologique'];1.49;['casino bio banane max havelaar - ', '. 2 - biologique'];2.29;['casino bio banane max havelaar - ', '. 2 - biologique'];2.29;['casino bio banane max havelaar - ', '. 2 - biologique'];2.49;['casino bio banane max havelaar - ', '. 2 - biologique']
Fruits et légumes;Fruits;casino bio citron - ;500g ;1.79;['casino bio citron - ', '. 2  - biologique'];1.79;['casino bio citron - ', '. 2  - biologique'];1.79;['casino bio citron - ', '. 2  - biologique'];1.79;['casino bio citron - ', '. 2  - biologique'];;;1.79;['casino bio citron - ', '. 2  - biologique'];1.79;['casino bio citron - ', '. 2  - biologique'];2.99;['casino bio citron - ', '. 2  - biologique']
Fruits et légumes;Fruits;casino bio clémentines - ;500g ;;;;;3.49;['casino bio clémentines - ', '.2 - biologique'];;;;;3.49;['casino bio clémentines - ', '.2 - biologique'];;;;
Fruits et légumes;Fruits;casino bio dattes - deglet nour - dénoyautées - biologique;250g ;2.29;['casino bio dattes - deglet nour - dénoyautées - biologique'];;;;;2.29;['casino bio dattes - deglet nour - dénoyautées - biologique'];;;2.29;['casino bio dattes - deglet nour - dénoyautées - biologique'];2.29;['casino bio dattes - deglet nour - dénoyautées - biologique'];3.1;['casino bio dattes - deglet nour - dénoyautées - biologique']
Fruits et légumes;Fruits;casino bio figues sèches - biologique;250g ;3.44;['casino bio figues sèches - biologique'];;;3.44;['casino bio figues sèches - biologique'];3.44;['casino bio figues sèches - biologique'];;;3.44;['casino bio figues sèches - biologique'];3.44;['casino bio figues sèches - biologique'];;
Fruits et légumes;Fruits;casino bio kiwi - ;x6;4.79;['casino bio kiwi - ', '. 2 - biologique'];4.79;['casino bio kiwi - ', '. 2 - biologique'];4.79;['casino bio kiwi - ', '. 2 - biologique'];4.79;['casino bio kiwi - ', '. 2 - biologique'];;;;;4.79;['casino bio kiwi - ', '. 2 - biologique'];;
Fruits et légumes;Fruits;casino bio mûres blanches séchées - biologique;150g ;;;;;;;;;;;3.29;['casino bio mûres blanches séchées - biologique'];3.29;['casino bio mûres blanches séchées - biologique'];;
Fruits et légumes;Fruits;casino bio noix de cajou - biologique;100g ;;;;;2.52;['casino bio noix de cajou - biologique'];2.52;['casino bio noix de cajou - biologique'];;;2.52;['casino bio noix de cajou - biologique'];2.52;['casino bio noix de cajou - biologique'];;
Fruits et légumes;Fruits;casino bio orange - ;1kg ;;;;;2.79;['casino bio orange - ', '. 2 - biologique'];2.79;['casino bio orange - ', '. 2 - biologique'];;;2.79;['casino bio orange - ', '. 2 - biologique'];2.79;['casino bio orange - ', '. 2 - biologique'];;
Fruits et légumes;Fruits;casino bio orange à jus - ;1,5kg ;;;;;;;;;;;3.99;['casino bio orange à jus - ', '. 2 - biologique'];3.99;['casino bio orange à jus - ', '. 2 - biologique'];4.99;['casino bio orange à jus - ', '. 2 - biologique']
Fruits et légumes;Fruits;casino bio pomme - variété golden - ;x8 ;;;;;;;4.99;['casino bio pomme - variété golden - ', '. 2 - biologique'];;;4.99;['casino bio pomme - variété golden - ', '. 2 - biologique'];;;;
Fruits et légumes;Fruits;casino bio pomme bicolore - ;x8 ;;;;;4.49;['casino bio pomme bicolore - ', '. 2 - biologique'];;;;;4.49;['casino bio pomme bicolore - ', '. 2 - biologique'];4.49;['casino bio pomme bicolore - ', '. 2 - biologique'];;
Fruits et légumes;Fruits;casino bio pommes - variété juliet - ;x4;3.19;['casino bio pommes - variété juliet - ', '. 2 - biologique'];;;;;3.19;['casino bio pommes - variété juliet - ', '. 2 - biologique'];;;;;;;;
Fruits et légumes;Fruits;casino bio pommes bicolore - ;x4 ;;;;;2.99;['casino bio pommes bicolore - ', '. 2 - biologique'];2.99;['casino bio pommes bicolore - ', '. 2 - biologique'];;;2.99;['casino bio pommes bicolore - ', '. 2 - biologique'];;;3.69;['casino bio pommes bicolore - ', '. 2 - biologique']
Fruits et légumes;Fruits;casino bio pommes jaunes - ;x4;;;;;2.99;['casino bio pommes jaunes - ', '. 2 - biologique'];2.99;['casino bio pommes jaunes - ', '. 2 - biologique'];;;2.99;['casino bio pommes jaunes - ', '. 2 - biologique'];2.99;['casino bio pommes jaunes - ', '. 2 - biologique'];;
Fruits et légumes;Fruits;casino bio pruneaux d'agen - biologique;250g ;2.99;"[""casino bio pruneaux d'agen - biologique""]";2.99;"[""casino bio pruneaux d'agen - biologique""]";2.99;"[""casino bio pruneaux d'agen - biologique""]";2.99;"[""casino bio pruneaux d'agen - biologique""]";3.09;"[""casino bio pruneaux d'agen - biologique""]";2.99;"[""casino bio pruneaux d'agen - biologique""]";2.99;"[""casino bio pruneaux d'agen - biologique""]";3.59;"[""casino bio pruneaux d'agen - biologique""]"
Fruits et légumes;Fruits;casino bio raisins secs - biologiques;250g ;2.13;['casino bio raisins secs - biologiques'];;;2.13;['casino bio raisins secs - biologiques'];2.13;['casino bio raisins secs - biologiques'];;;2.13;['casino bio raisins secs - biologiques'];2.13;['casino bio raisins secs - biologiques'];;
Fruits et légumes;Fruits;casino cerneaux de noix;125g ;3.69;['casino cerneaux de noix'];;;3.69;['casino cerneaux de noix'];3.69;['casino cerneaux de noix'];4.29;['casino cerneaux de noix'];3.69;['casino cerneaux de noix'];3.69;['casino cerneaux de noix'];4.59;['casino cerneaux de noix']
Fruits et légumes;Fruits;casino chips de bananes;175g ;;;;;1.49;['casino chips de bananes'];1.49;['casino chips de bananes'];;;1.49;['casino chips de bananes'];1.49;['casino chips de bananes'];;
Fruits et légumes;Fruits;casino citrons - ;De 400g à 500g ;1.75;['casino citrons - ', '. 1'];1.75;['casino citrons - ', '. 1'];1.75;['casino citrons - ', '. 1'];1.75;['casino citrons - ', '. 1'];2.0;['casino citrons - ', '. 1'];1.75;['casino citrons - ', '. 1'];1.75;['casino citrons - ', '. 1'];2.0;['casino citrons - ', '. 1']
Fruits et légumes;Fruits;casino cranberrie;125g ;1.66;['casino cranberrie'];;;1.66;['casino cranberrie'];1.66;['casino cranberrie'];;;1.66;['casino cranberrie'];1.66;['casino cranberrie'];2.09;['casino cranberrie']
Fruits et légumes;Fruits;casino dattes;500g ;2.39;['casino dattes'];;;2.39;['casino dattes'];2.39;['casino dattes'];2.75;['casino dattes'];2.39;['casino dattes'];2.39;['casino dattes'];2.8;['casino dattes']
Fruits et légumes;Fruits;casino duo de raisins moelleux;250g ;2.45;['casino duo de raisins moelleux'];;;2.45;['casino duo de raisins moelleux'];2.45;['casino duo de raisins moelleux'];2.75;['casino duo de raisins moelleux'];2.45;['casino duo de raisins moelleux'];2.45;['casino duo de raisins moelleux'];2.81;['casino duo de raisins moelleux']
Fruits et légumes;Fruits;casino figues moelleuses;250g ;2.55;['casino figues moelleuses'];;;2.55;['casino figues moelleuses'];2.55;['casino figues moelleuses'];2.95;['casino figues moelleuses'];2.55;['casino figues moelleuses'];2.55;['casino figues moelleuses'];3.2;['casino figues moelleuses']
Fruits et légumes;Fruits;casino figues moelleuses;500g ;4.99;['casino figues moelleuses'];;;4.99;['casino figues moelleuses'];4.99;['casino figues moelleuses'];;;4.99;['casino figues moelleuses'];4.99;['casino figues moelleuses'];5.99;['casino figues moelleuses']
Fruits et légumes;Fruits;casino melon jaune - ;La pièce;;;;;;;;;;;4.49;['casino melon jaune - ', '. 1'];;;;
Fruits et légumes;Fruits;casino mélange de fruits à coque;250g ;3.85;['casino mélange de fruits à coque'];;;3.85;['casino mélange de fruits à coque'];3.85;['casino mélange de fruits à coque'];;;3.85;['casino mélange de fruits à coque'];3.85;['casino mélange de fruits à coque'];;
Fruits et légumes;Fruits;casino noisettes décortiquées;125g ;3.25;['casino noisettes décortiquées'];;;3.25;['casino noisettes décortiquées'];3.25;['casino noisettes décortiquées'];;;3.25;['casino noisettes décortiquées'];3.25;['casino noisettes décortiquées'];3.35;['casino noisettes décortiquées']
Fruits et légumes;Fruits;casino noix de cajou grillées - sans sel ajouté;200g ;4.99;['casino noix de cajou grillées - sans sel ajouté'];;;4.99;['casino noix de cajou grillées - sans sel ajouté'];4.99;['casino noix de cajou grillées - sans sel ajouté'];;;4.99;['casino noix de cajou grillées - sans sel ajouté'];4.99;['casino noix de cajou grillées - sans sel ajouté'];;
Fruits et légumes;Fruits;casino noix de coco râpée;125g ;;;;;;;1.29;['casino noix de coco râpée'];;;1.29;['casino noix de coco râpée'];;;;
Fruits et légumes;Fruits;casino noix de pécan;125g ;3.55;['casino noix de pécan'];;;3.55;['casino noix de pécan'];3.55;['casino noix de pécan'];4.75;['casino noix de pécan'];3.55;['casino noix de pécan'];3.55;['casino noix de pécan'];;
Fruits et légumes;Fruits;casino pause chocolaté - mélange de fruits secs;250g ;3.85;['casino pause chocolaté - mélange de fruits secs'];;;3.85;['casino pause chocolaté - mélange de fruits secs'];3.85;['casino pause chocolaté - mélange de fruits secs'];;;3.85;['casino pause chocolaté - mélange de fruits secs'];3.85;['casino pause chocolaté - mélange de fruits secs'];;
Fruits et légumes;Fruits;casino pause décontract - mélange de fruits secs - amande cajou ananas fraise;250g ;;;;;4.59;['casino pause décontract - mélange de fruits secs - amande cajou ananas fraise'];4.59;['casino pause décontract - mélange de fruits secs - amande cajou ananas fraise'];;;4.59;['casino pause décontract - mélange de fruits secs - amande cajou ananas fraise'];;;;
Fruits et légumes;Fruits;casino pause harmony - mélange de fruits secs - amande noisette pomme cerise;250g ;4.15;['casino pause harmony - mélange de fruits secs - amande noisette pomme cerise'];;;4.15;['casino pause harmony - mélange de fruits secs - amande noisette pomme cerise'];4.15;['casino pause harmony - mélange de fruits secs - amande noisette pomme cerise'];3.5;['casino pause harmony - mélange de fruits secs - amande noisette pomme cerise'];4.15;['casino pause harmony - mélange de fruits secs - amande noisette pomme cerise'];4.15;['casino pause harmony - mélange de fruits secs - amande noisette pomme cerise'];;
Fruits et légumes;Fruits;casino pause punch - mélange de fruits secs - raisins amandes pécan cranberries;250g ;3.69;['casino pause punch - mélange de fruits secs - raisins amandes pécan cranberries'];;;3.69;['casino pause punch - mélange de fruits secs - raisins amandes pécan cranberries'];3.69;['casino pause punch - mélange de fruits secs - raisins amandes pécan cranberries'];3.89;['casino pause punch - mélange de fruits secs - raisins amandes pécan cranberries'];3.69;['casino pause punch - mélange de fruits secs - raisins amandes pécan cranberries'];3.69;['casino pause punch - mélange de fruits secs - raisins amandes pécan cranberries'];;
Fruits et légumes;Fruits;casino pause salade - mélange de graines;100g ;;;;;;;1.95;['casino pause salade - mélange de graines'];;;1.95;['casino pause salade - mélange de graines'];1.95;['casino pause salade - mélange de graines'];;
Fruits et légumes;Fruits;casino pause superfruits - mélange de fruits secs - mûre cerise myrtille cranberrie125g;125g ;2.69;['casino pause superfruits - mélange de fruits secs - mûre cerise myrtille cranberrie125g'];;;2.69;['casino pause superfruits - mélange de fruits secs - mûre cerise myrtille cranberrie125g'];2.69;['casino pause superfruits - mélange de fruits secs - mûre cerise myrtille cranberrie125g'];3.05;['casino pause superfruits - mélange de fruits secs - mûre cerise myrtille cranberrie125g'];2.69;['casino pause superfruits - mélange de fruits secs - mûre cerise myrtille cranberrie125g'];;;;
Fruits et légumes;Fruits;casino pignons de pin;125g ;6.99;['casino pignons de pin'];6.99;['casino pignons de pin'];6.99;['casino pignons de pin'];6.99;['casino pignons de pin'];;;6.99;['casino pignons de pin'];6.99;['casino pignons de pin'];5.95;['casino pignons de pin']
Fruits et légumes;Fruits;casino pistaches - sans sel ajouté;125g ;3.45;['casino pistaches - sans sel ajouté'];3.45;['casino pistaches - sans sel ajouté'];3.45;['casino pistaches - sans sel ajouté'];3.45;['casino pistaches - sans sel ajouté'];;;3.45;['casino pistaches - sans sel ajouté'];3.45;['casino pistaches - sans sel ajouté'];;
Fruits et légumes;Fruits;casino pruneaux d'agen - très gros;500g ;4.45;"[""casino pruneaux d'agen - très gros""]";;;4.45;"[""casino pruneaux d'agen - très gros""]";4.45;"[""casino pruneaux d'agen - très gros""]";4.55;"[""casino pruneaux d'agen - très gros""]";4.45;"[""casino pruneaux d'agen - très gros""]";4.45;"[""casino pruneaux d'agen - très gros""]";4.55;"[""casino pruneaux d'agen - très gros""]"
Fruits et légumes;Fruits;casino pruneaux d'agen géants;1kg ;;;;;7.99;"[""casino pruneaux d'agen géants""]";7.99;"[""casino pruneaux d'agen géants""]";8.49;"[""casino pruneaux d'agen géants""]";7.99;"[""casino pruneaux d'agen géants""]";7.99;"[""casino pruneaux d'agen géants""]";8.49;"[""casino pruneaux d'agen géants""]"
Fruits et légumes;Fruits;casino pruneaux d'agen géants dénoyautés;2x250g ;5.45;"[""casino pruneaux d'agen géants dénoyautés""]";;;5.45;"[""casino pruneaux d'agen géants dénoyautés""]";5.45;"[""casino pruneaux d'agen géants dénoyautés""]";5.35;"[""casino pruneaux d'agen géants dénoyautés""]";5.45;"[""casino pruneaux d'agen géants dénoyautés""]";5.45;"[""casino pruneaux d'agen géants dénoyautés""]";5.35;"[""casino pruneaux d'agen géants dénoyautés""]"
Fruits et légumes;Fruits;casino prunes moelleuses dénoyautées;250g ;3.55;['casino prunes moelleuses dénoyautées'];3.55;['casino prunes moelleuses dénoyautées'];3.55;['casino prunes moelleuses dénoyautées'];3.55;['casino prunes moelleuses dénoyautées'];3.49;['casino prunes moelleuses dénoyautées'];3.55;['casino prunes moelleuses dénoyautées'];3.55;['casino prunes moelleuses dénoyautées'];3.49;['casino prunes moelleuses dénoyautées']
Fruits et légumes;Fruits;casino raisins secs - golden;125g ;1.49;['casino raisins secs - golden'];;;1.49;['casino raisins secs - golden'];1.49;['casino raisins secs - golden'];1.65;['casino raisins secs - golden'];1.49;['casino raisins secs - golden'];1.49;['casino raisins secs - golden'];1.65;['casino raisins secs - golden']
Fruits et légumes;Fruits;daco bello mix cranberries - amandes et noix de pécan;350g ;;;;;;;4.14;['daco bello mix cranberries - amandes et noix de pécan'];;;4.14;['daco bello mix cranberries - amandes et noix de pécan'];4.14;['daco bello mix cranberries - amandes et noix de pécan'];5.85;['daco bello mix cranberries - amandes et noix de pécan']
Fruits et légumes;Fruits;daco bello pignons de pin;60g ;;;;;;;;;;;2.78;['daco bello pignons de pin'];;;;
Fruits et légumes;Fruits;holly fruit myrtilles - ;500g ;;;;;;;7.99;['holly fruit myrtilles - ', '. 1'];;;7.99;['holly fruit myrtilles - ', '. 1'];7.99;['holly fruit myrtilles - ', '. 1'];;
Fruits et légumes;Fruits;la pulpe amande blanche en poudre;1kg ;8.99;['la pulpe amande blanche en poudre'];8.99;['la pulpe amande blanche en poudre'];;;;;;;8.99;['la pulpe amande blanche en poudre'];;;;
Fruits et légumes;Fruits;la pulpe amandes décortiquées;1kg ;12.5;['la pulpe amandes décortiquées'];;;;;;;;;12.5;['la pulpe amandes décortiquées'];;;;
Fruits et légumes;Fruits;la pulpe amandes effilées;1kg ;9.79;['la pulpe amandes effilées'];;;;;;;;;9.79;['la pulpe amandes effilées'];;;;
Fruits et légumes;Fruits;la pulpe cerneaux de noix;1kg ;11.99;['la pulpe cerneaux de noix'];;;;;;;;;11.99;['la pulpe cerneaux de noix'];;;;
Fruits et légumes;Fruits;la pulpe noisettes;1kg ;14.69;['la pulpe noisettes'];;;;;;;;;14.69;['la pulpe noisettes'];;;;
Fruits et légumes;Fruits;leader price pruneaux dénoyautés;500g ;;;;;;;;;;;3.49;['leader price pruneaux dénoyautés'];;;;
Fruits et légumes;Fruits;leader price raisins secs sultanines;500g ;3.59;['leader price raisins secs sultanines'];3.59;['leader price raisins secs sultanines'];3.59;['leader price raisins secs sultanines'];;;;;3.59;['leader price raisins secs sultanines'];;;;
Fruits et légumes;Fruits;maison roucadil pruneaux d'agen - entiers - 28/33 - sans conservateur;500g ;4.54;"[""maison roucadil pruneaux d'agen - entiers - 28/33 - sans conservateur""]";;;4.54;"[""maison roucadil pruneaux d'agen - entiers - 28/33 - sans conservateur""]";4.54;"[""maison roucadil pruneaux d'agen - entiers - 28/33 - sans conservateur""]";;;4.54;"[""maison roucadil pruneaux d'agen - entiers - 28/33 - sans conservateur""]";4.54;"[""maison roucadil pruneaux d'agen - entiers - 28/33 - sans conservateur""]";;
